ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
28,33,4.603096,-74.1079409999999,PM10,g/h,0,0,0,0,0,0,0,4359.2427419,4359.2427419,4359.2427419,4359.2427419,4359.2427419,0,4359.2427419,4359.2427419,4359.2427419,4359.2427419,4359.2427419,4359.2427419,0,0,0,0,0,0
25,34,4.576202,-74.0989459999999,PM10,g/h,0,0,0,0,0,0,0,2601.61761995,2601.61761995,2601.61761995,2601.61761995,2601.61761995,0,2601.61761995,2601.61761995,2601.61761995,2601.61761995,2601.61761995,2601.61761995,0,0,0,0,0,0
29,32,4.612068,-74.1169359999999,PM10,g/h,0,0,0,0,0,0,0,743.04,743.04,743.04,743.04,743.04,0,743.04,743.04,743.04,743.04,743.04,743.04,0,0,0,0,0,0
28,34,4.603096,-74.0989459999999,PM10,g/h,0,0,0,0,0,0,0,17372.821525,17372.821525,17372.821525,17372.821525,17372.821525,0,17372.821525,17372.821525,17372.821525,17372.821525,17372.821525,17372.821525,0,0,0,0,0,0
30,33,4.621033,-74.1079409999999,PM10,g/h,0,0,0,0,0,0,0,7745.79456,7745.79456,7745.79456,7745.79456,7745.79456,0,7745.79456,7745.79456,7745.79456,7745.79456,7745.79456,7745.79456,0,0,0,0,0,0
35,37,4.665855,-74.07196,PM10,g/h,0,0,0,0,0,0,0,684.6336,684.6336,684.6336,684.6336,684.6336,0,684.6336,684.6336,684.6336,684.6336,684.6336,684.6336,0,0,0,0,0,0
32,37,4.638962,-74.07196,PM10,g/h,0,0,0,0,0,0,0,276.48,276.48,276.48,276.48,276.48,0,276.48,276.48,276.48,276.48,276.48,276.48,0,0,0,0,0,0
26,34,4.585175,-74.0989459999999,PM10,g/h,0,0,0,0,0,0,0,3753.06512289,3753.06512289,3753.06512289,3753.06512289,3753.06512289,0,3753.06512289,3753.06512289,3753.06512289,3753.06512289,3753.06512289,3753.06512289,0,0,0,0,0,0
29,33,4.612068,-74.1079409999999,PM10,g/h,0,0,0,0,0,0,0,695.55456,695.55456,695.55456,695.55456,695.55456,0,695.55456,695.55456,695.55456,695.55456,695.55456,695.55456,0,0,0,0,0,0
28,30,4.603096,-74.1349179999999,PM10,g/h,0,0,0,0,0,0,0,2772.95616,2772.95616,2772.95616,2772.95616,2772.95616,0,2772.95616,2772.95616,2772.95616,2772.95616,2772.95616,2772.95616,0,0,0,0,0,0
35,39,4.665855,-74.05397,PM10,g/h,0,0,0,0,0,0,0,483.84,483.84,483.84,483.84,483.84,0,483.84,483.84,483.84,483.84,483.84,483.84,0,0,0,0,0,0
31,32,4.629997,-74.1169359999999,PM10,g/h,0,0,0,0,0,0,0,1251.936,1251.936,1251.936,1251.936,1251.936,0,1251.936,1251.936,1251.936,1251.936,1251.936,1251.936,0,0,0,0,0,0
30,36,4.621033,-74.080956,PM10,g/h,0,0,0,0,0,0,0,172.8,172.8,172.8,172.8,172.8,0,172.8,172.8,172.8,172.8,172.8,172.8,0,0,0,0,0,0
35,38,4.665855,-74.062965,PM10,g/h,0,0,0,0,0,0,0,1105.92,1105.92,1105.92,1105.92,1105.92,0,1105.92,1105.92,1105.92,1105.92,1105.92,1105.92,0,0,0,0,0,0
34,36,4.656898,-74.080956,PM10,g/h,0,0,0,0,0,0,0,3075.84,3075.84,3075.84,3075.84,3075.84,0,3075.84,3075.84,3075.84,3075.84,3075.84,3075.84,0,0,0,0,0,0
27,34,4.594131,-74.0989459999999,PM10,g/h,0,0,0,0,0,0,0,2010.9447936,2010.9447936,2010.9447936,2010.9447936,2010.9447936,0,2010.9447936,2010.9447936,2010.9447936,2010.9447936,2010.9447936,2010.9447936,0,0,0,0,0,0
34,37,4.656898,-74.07196,PM10,g/h,0,0,0,0,0,0,0,1018.96704,1018.96704,1018.96704,1018.96704,1018.96704,0,1018.96704,1018.96704,1018.96704,1018.96704,1018.96704,1018.96704,0,0,0,0,0,0
31,33,4.629997,-74.1079409999999,PM10,g/h,0,0,0,0,0,0,0,5813.856,5813.856,5813.856,5813.856,5813.856,0,5813.856,5813.856,5813.856,5813.856,5813.856,5813.856,0,0,0,0,0,0
28,35,4.603096,-74.0899509999999,PM10,g/h,0,0,0,0,0,0,0,1838.8396601,1838.8396601,1838.8396601,1838.8396601,1838.8396601,0,1838.8396601,1838.8396601,1838.8396601,1838.8396601,1838.8396601,1838.8396601,0,0,0,0,0,0
28,31,4.603096,-74.125923,PM10,g/h,0,0,0,0,0,0,0,2752.42752,2752.42752,2752.42752,2752.42752,2752.42752,0,2752.42752,2752.42752,2752.42752,2752.42752,2752.42752,2752.42752,0,0,0,0,0,0
29,35,4.612068,-74.0899509999999,PM10,g/h,0,0,0,0,0,0,0,12134.6653513,12134.6653513,12134.6653513,12134.6653513,12134.6653513,0,12134.6653513,12134.6653513,12134.6653513,12134.6653513,12134.6653513,12134.6653513,0,0,0,0,0,0
33,36,4.647919,-74.080956,PM10,g/h,0,0,0,0,0,0,0,5425.92,5425.92,5425.92,5425.92,5425.92,0,5425.92,5425.92,5425.92,5425.92,5425.92,5425.92,0,0,0,0,0,0
27,31,4.594131,-74.125923,PM10,g/h,0,0,0,0,0,0,0,544.87296,544.87296,544.87296,544.87296,544.87296,0,544.87296,544.87296,544.87296,544.87296,544.87296,544.87296,0,0,0,0,0,0
